Age,Embarked,FamilyCount,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Ticket,Title
,C,0,6.4375,0,1008,3,male,0,2,Mr
,C,0,7.225,0,1166,3,male,0,2,Mr
,C,0,7.225,0,1224,3,male,0,2,Mr
,C,0,7.2292,0,1065,3,male,0,2,Mr
,C,0,7.2292,0,1180,3,male,0,2,Mr
,C,0,7.2292,0,1184,3,male,0,2,Mr
,C,0,7.2292,0,1231,3,male,0,2,Master
,C,0,7.8958,0,1043,3,male,0,3,Mr
,C,0,15.0458,0,1193,2,male,0,2,Mr
,C,0,15.5792,0,946,2,male,0,S,Mr
,C,0,25.7417,0,1097,1,male,0,F,Mr
,C,0,27.7208,0,1060,1,female,0,1,Mrs
,C,1,6.4375,0,1025,3,male,1,2,Mr
,C,1,14.4542,0,977,3,male,1,2,Mr
,C,1,14.4542,0,1141,3,female,1,2,Mrs
,C,1,14.4583,0,1258,3,male,1,2,Mr
,C,2,15.2458,2,1117,3,female,0,2,Mrs
,C,2,21.6792,0,921,3,male,2,2,Mr
,C,2,21.6792,0,1189,3,male,2,2,Mr
,C,2,22.3583,1,1309,3,male,1,2,Master
,Q,0,7.7208,0,1300,3,female,0,3,Miss
,Q,0,7.7333,0,1052,3,female,0,3,Miss
,Q,0,7.75,0,939,3,male,0,3,Mr
,Q,0,7.75,0,980,3,female,0,3,Ms
,Q,0,7.75,0,994,3,male,0,3,Mr
,Q,0,7.75,0,999,3,male,0,3,Mr
,Q,0,7.75,0,1016,3,male,0,3,Mr
,Q,0,7.75,0,1075,3,male,0,7,Mr
,Q,0,7.75,0,1119,3,female,0,3,Miss
,Q,0,7.75,0,1148,3,male,0,A,Mr
,Q,0,7.75,0,1163,3,male,0,3,Mr
,Q,0,7.75,0,1174,3,female,0,3,Miss
,Q,0,7.75,0,1196,3,female,0,3,Miss
,Q,0,7.75,0,1250,3,male,0,3,Mr
,Q,0,7.75,0,1272,3,male,0,3,Mr
,Q,0,7.75,0,1302,3,female,0,3,Miss
,Q,0,7.7792,0,1003,3,female,0,3,Miss
,Q,0,7.8792,0,1108,3,female,0,3,Miss
,Q,0,7.8792,0,1125,3,male,0,3,Mr
,Q,0,10.7083,0,976,2,male,0,2,Mr
,Q,0,15.5,0,1092,3,female,0,3,Miss
,Q,1,7.75,0,1013,3,male,1,3,Mr
,Q,1,15.5,0,1165,3,female,1,3,Miss
,Q,2,23.25,0,1019,3,female,2,3,Miss
,S,0,0,0,1158,1,male,0,1,Mr
,S,0,7,0,1055,3,male,0,3,Mr
,S,0,7.05,0,1103,3,male,0,S,Mr
,S,0,7.25,0,1178,3,male,0,S,Mr
,S,0,7.55,0,1062,3,male,0,S,Mr
,S,0,7.55,0,1147,3,male,0,C,Mr
,S,0,7.55,0,1159,3,male,0,C,Mr
,S,0,7.575,0,1204,3,male,0,L,Mr
,S,0,7.775,0,983,3,male,0,3,Mr
,S,0,7.8792,0,1249,3,male,0,1,Mr
,S,0,7.8875,0,1135,3,male,0,3,Mr
,S,0,7.8958,0,902,3,male,0,3,Mr
,S,0,7.8958,0,975,3,male,0,3,Mr
,S,0,7.8958,0,1157,3,male,0,3,Mr
,S,0,8.05,0,928,3,female,0,3,Miss
,S,0,8.05,0,968,3,male,0,3,Mr
,S,0,8.05,0,985,3,male,0,3,Mr
,S,0,8.05,0,1111,3,male,0,3,Mr
,S,0,8.05,0,1160,3,female,0,A,Miss
,S,0,8.05,0,1181,3,male,0,A,Mr
,S,0,8.05,0,1305,3,male,0,A,Mr
,S,0,8.05,0,1308,3,male,0,3,Mr
,S,0,8.1125,0,1091,3,female,0,6,Mrs
,S,0,8.7125,0,1000,3,male,0,3,Mr
,S,0,12.875,0,1276,2,male,0,S,Mr
,S,0,14.5,0,1274,3,female,0,3,Mrs
,S,0,21,0,957,2,female,0,F,Mrs
,S,0,26,0,1083,1,male,0,1,Mr
,S,0,26.55,0,933,1,male,0,1,Mr
,S,0,26.55,0,1040,1,male,0,1,Mr
,S,0,31.6833,0,914,1,female,0,P,Mrs
,S,0,39.6,0,1182,1,male,0,P,Mr
,S,0,51.8625,0,1038,1,male,0,1,Mr
,S,0,56.4958,0,931,3,male,0,1,Mr
,S,1,16.1,0,950,3,male,1,3,Mr
,S,2,14.5,1,1236,3,male,1,A,Master
,S,3,23.45,2,925,3,female,1,W,Mrs
,S,3,23.45,2,1136,3,male,1,W,Master
,S,4,25.4667,4,1024,3,female,0,4,Mrs
,S,10,69.55,2,1080,3,female,8,C,Miss
,S,10,69.55,9,1234,3,male,1,C,Mr
,S,10,69.55,9,1257,3,female,1,C,Mrs
0,S,2,14.4,2,1093,3,male,0,3,Master
0,S,3,20.575,2,1246,3,female,1,C,Miss
1,C,3,41.5792,2,1188,2,female,1,S,Miss
1,S,1,9.35,1,1199,3,male,0,3,Master
1,S,2,12.1833,1,1155,3,female,1,3,Miss
1,S,2,13.775,1,1173,3,male,1,S,Master
1,S,2,16.7,1,1009,3,female,1,P,Miss
1,S,3,27.75,2,1142,2,female,1,C,Miss
2,S,2,20.2125,1,1176,3,female,1,3,Miss
2,S,2,23,1,981,2,male,1,2,Master
3,S,2,13.775,1,1301,3,female,1,S,Miss
5,S,6,31.3875,2,1271,3,male,4,3,Master
6,C,2,15.2458,1,972,3,male,1,2,Master
6,C,2,134.5,2,1088,1,male,0,1,Master
6,S,4,21.075,1,1281,3,male,3,3,Master
