Age,Embarked,FamilyCount,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Ticket,Title,Survived
0,C,1,8.5167,1,804,3,male,0,2,Master,1
1,C,2,15.7417,2,382,3,female,0,2,Miss,1
1,C,2,37.0042,2,828,2,male,0,S,Master,1
1,C,3,19.2583,1,470,3,female,2,2,Miss,1
1,C,3,19.2583,1,645,3,female,2,2,Miss,1
1,S,2,11.1333,1,173,3,female,1,3,Miss,1
1,S,2,14.5,1,756,2,male,1,2,Master,1
1,S,2,18.75,1,832,2,male,1,2,Master,1
1,S,2,29,2,79,2,male,0,2,Master,1
1,S,3,20.575,2,789,3,male,1,C,Master,1
1,S,3,39,1,184,2,male,2,2,Master,1
1,S,3,151.55,2,306,1,male,1,1,Master,1
1,S,5,39.6875,1,165,3,male,4,3,Master,0
1,S,7,46.9,2,387,3,male,5,C,Master,0
2,Q,5,29.125,1,17,3,male,4,3,Master,0
2,S,1,10.4625,1,206,3,female,0,3,Miss,0
2,S,1,12.2875,1,480,3,female,0,3,Miss,1
2,S,2,26,1,341,2,male,1,2,Master,1
2,S,2,26,1,531,2,female,1,2,Miss,1
2,S,3,151.55,2,298,1,female,1,1,Miss,0
2,S,4,21.075,1,8,3,male,3,3,Master,0
2,S,5,27.9,2,643,3,female,3,3,Miss,0
2,S,5,39.6875,1,825,3,male,4,3,Master,0
2,S,6,31.275,2,120,3,female,4,3,Miss,0
3,C,3,41.5792,2,44,2,female,1,S,Miss,1
3,S,2,15.9,1,349,3,male,1,C,Master,1
3,S,2,18.75,1,408,2,male,1,2,Master,1
3,S,2,26,1,194,2,male,1,2,Master,1
3,S,4,21.075,1,375,3,female,3,3,Miss,0
3,S,6,31.3875,2,262,3,male,4,3,Master,1
4,C,1,13.4167,1,692,3,female,0,3,Miss,1
4,Q,5,29.125,1,172,3,male,4,3,Master,0
4,S,2,11.1333,1,870,3,male,1,3,Master,1
4,S,2,16.7,1,11,3,female,1,P,Miss,1
4,S,2,22.025,2,185,3,female,0,3,Miss,1
4,S,2,23,1,751,2,female,1,2,Miss,1
4,S,2,81.8583,2,446,1,male,0,3,Master,1
4,S,3,39,1,619,2,female,2,2,Miss,1
4,S,5,27.9,2,64,3,male,3,3,Master,0
4,S,6,31.275,2,851,3,male,4,3,Master,0
5,C,3,19.2583,1,449,3,female,2,2,Miss,1
5,S,0,12.475,0,778,3,female,0,3,Miss,1
5,S,3,27.75,2,59,2,female,1,C,Miss,1
5,S,6,31.3875,2,234,3,female,4,3,Miss,1
6,S,1,12.475,1,752,3,male,0,3,Master,1
6,S,1,33,1,721,2,female,0,2,Miss,1
6,S,6,31.275,2,814,3,female,4,3,Miss,0
7,Q,5,29.125,1,279,3,male,4,3,Master,0
7,S,2,26.25,2,536,2,female,0,F,Miss,1
7,S,5,39.6875,1,51,3,male,4,3,Master,0
8,Q,5,29.125,1,788,3,male,4,3,Master,0
8,S,2,26.25,2,238,2,female,0,C,Miss,1
8,S,2,36.75,1,550,2,male,1,C,Master,1
8,S,4,21.075,1,25,3,female,3,3,Miss,0
9,C,2,15.2458,1,853,3,female,1,2,Miss,0
9,S,2,15.9,1,490,3,male,1,C,Master,1
9,S,2,20.525,2,166,3,male,0,3,Master,1
9,S,4,34.375,2,148,3,female,2,W,Miss,0
9,S,5,27.9,2,635,3,female,3,3,Miss,0
9,S,6,31.275,2,542,3,female,4,3,Miss,0
9,S,6,31.3875,2,183,3,male,4,3,Master,0
9,S,7,46.9,2,481,3,male,5,C,Master,0
10,S,2,24.15,2,420,3,female,0,3,Miss,0
10,S,5,27.9,2,820,3,male,3,3,Master,0
11,C,0,18.7875,0,732,3,male,0,2,Mr,0
11,S,3,120,2,803,1,male,1,1,Master,1
11,S,6,31.275,2,543,3,female,4,3,Miss,0
11,S,7,46.9,2,60,3,male,5,C,Master,0
12,C,1,11.2417,0,126,3,male,1,2,Master,1
13,C,0,7.2292,0,781,3,female,0,2,Miss,1
13,S,1,19.5,1,447,2,female,0,2,Miss,1
14,C,1,11.2417,0,40,3,female,1,2,Miss,1
14,C,1,14.4542,0,112,3,female,1,2,Miss,0
14,C,1,30.0708,0,10,2,female,1,2,Mrs,1
14,S,0,7.8542,0,15,3,female,0,3,Miss,0
14,S,3,120,2,436,1,female,1,1,Miss,1
14,S,5,39.6875,1,687,3,male,4,3,Mr,0
14,S,7,46.9,2,684,3,male,5,C,Mr,0
15,C,0,7.225,0,876,3,female,0,2,Miss,1
15,C,1,14.4542,0,831,3,female,1,2,Mrs,1
15,C,2,7.2292,1,353,3,male,1,2,Mr,0
15,Q,0,8.0292,0,23,3,female,0,3,Miss,1
15,S,1,211.3375,1,690,1,female,0,2,Miss,1
16,C,1,57.9792,1,330,1,female,0,1,Miss,1
16,Q,0,7.7333,0,157,3,female,0,3,Miss,1
